,song,debut_date,peak_position,peak_date,weeks_on_chart
135,peace,08.08.20,58,08.08.20,1
136,hoax,08.08.20,71,08.08.20,1
137,epiphany,08.08.20,57,08.08.20,1
138,this is me trying,08.08.20,39,08.08.20,1
139,illicit affairs,08.08.20,44,08.08.20,1
140,mad woman,08.08.20,47,08.08.20,1
141,only the young,02.15.20,50,02.15.20,1
142,everything has changed,11.27.21,63,11.27.21,1
143,stay stay stay,11.27.21,67,11.27.21,1
144,babe,11.27.21,69,11.27.21,1
145,nothing new,11.27.21,43,11.27.21,1
146,run,11.27.21,47,11.27.21,1
147,i knew you were trouble,11.27.21,46,11.27.21,1
148,22,11.27.21,52,11.27.21,1
149,we are never ever getting back together,11.27.21,55,11.27.21,1
150,gold rush,12.26.20,40,12.26.20,1
151,long story short,12.26.20,68,12.26.20,1
152,cowboy like me,12.26.20,71,12.26.20,1
153,tolerate it,12.26.20,45,12.26.20,1
154,ivy,12.26.20,61,12.26.20,1
155,evermore,12.26.20,57,12.26.20,1
156,coney island,12.26.20,63,12.26.20,1
157,closure,12.26.20,82,12.26.20,1
158,dorothea,12.26.20,67,12.26.20,1
159,happiness,12.26.20,52,12.26.20,1
160,marjorie,12.26.20,75,12.26.20,1
161,you belong with me,04.24.21,75,04.24.21,1
162,fifteen,04.24.21,88,04.24.21,1
163,fearless,04.24.21,71,04.24.21,1
164,forever & always,04.24.21,65,04.24.21,1
165,the way i loved you,04.24.21,94,04.24.21,1
166,renegade,07.17.21,73,07.17.21,1
167,wildest dreams,10.02.21,37,10.02.21,1
