,album_name,track_title,track_n,lyric,line
29,Taylor Swift,Tim McGraw,1,The moon like a spotlight on the lake,30
30,Taylor Swift,Tim McGraw,1,When you think happiness,31
31,Taylor Swift,Tim McGraw,1,I hope you think that little black dress,32
32,Taylor Swift,Tim McGraw,1,Think of my head on your chest,33
33,Taylor Swift,Tim McGraw,1,And my old faded blue jeans,34
34,Taylor Swift,Tim McGraw,1,When you think Tim McGraw,35
35,Taylor Swift,Tim McGraw,1,I hope you think of me,36
36,Taylor Swift,Tim McGraw,1,And I'm back for the first time since then,37
37,Taylor Swift,Tim McGraw,1,I'm standin' on your street,38
38,Taylor Swift,Tim McGraw,1,And there's a letter left on your doorstep,39
39,Taylor Swift,Tim McGraw,1,And the first thing that you'll read is:,40
40,Taylor Swift,Tim McGraw,1,"""When you think Tim McGraw",41
41,Taylor Swift,Tim McGraw,1,I hope you think my favorite song,42
42,Taylor Swift,Tim McGraw,1,Someday you'll turn your radio on,43
43,Taylor Swift,Tim McGraw,1,"I hope it takes you back to that place""",44
44,Taylor Swift,Tim McGraw,1,When you think happiness,45
45,Taylor Swift,Tim McGraw,1,I hope you think that little black dress,46
46,Taylor Swift,Tim McGraw,1,Think of my head on your chest,47
47,Taylor Swift,Tim McGraw,1,And my old faded blue jeans,48
48,Taylor Swift,Tim McGraw,1,When you think Tim McGraw,49
49,Taylor Swift,Tim McGraw,1,I hope you think of me,50
50,Taylor Swift,Tim McGraw,1,"Oh, think of me",51
51,Taylor Swift,Tim McGraw,1,Mmmm,52
52,Taylor Swift,Tim McGraw,1,He said the way my blue eyes shined,53
53,Taylor Swift,Tim McGraw,1,Put those Georgia stars to shame that night,54
54,Taylor Swift,Tim McGraw,1,"I said, ""That's a lie""",55
55,Taylor Swift,Picture To Burn,2,"State the obvious, I didn't get my perfect fantasy",1
56,Taylor Swift,Picture To Burn,2,I realize you love yourself more than you could ever love me,2
57,Taylor Swift,Picture To Burn,2,So go and tell your friends that I'm obsessive and crazy,3
58,Taylor Swift,Picture To Burn,2,That's fine I'll tell mine that you're gay!,4
59,Taylor Swift,Picture To Burn,2,By the way...,5
60,Taylor Swift,Picture To Burn,2,I hate that stupid old pickup truck,6
61,Taylor Swift,Picture To Burn,2,You never let me drive,7
62,Taylor Swift,Picture To Burn,2,You're a redneck heartbreak,8
63,Taylor Swift,Picture To Burn,2,Who's really bad at lying,9
64,Taylor Swift,Picture To Burn,2,So watch me strike a match,10
65,Taylor Swift,Picture To Burn,2,On all my wasted time,11
66,Taylor Swift,Picture To Burn,2,As far as I'm concerned,12
67,Taylor Swift,Picture To Burn,2,You're just another picture to burn!,13
68,Taylor Swift,Picture To Burn,2,There's no time for tears,14
69,Taylor Swift,Picture To Burn,2,I'm just sitting here planning my revenge,15
70,Taylor Swift,Picture To Burn,2,There's nothing stopping me,16
71,Taylor Swift,Picture To Burn,2,From going out with all of your best friends,17
72,Taylor Swift,Picture To Burn,2,And if you come around saying sorry to me,18
73,Taylor Swift,Picture To Burn,2,My daddy's gonna show you how sorry you'll be,19
74,Taylor Swift,Picture To Burn,2,'Cause I hate that stupid old pickup truck,20
75,Taylor Swift,Picture To Burn,2,You never let me drive,21
76,Taylor Swift,Picture To Burn,2,You're a redneck heartbreak,22
77,Taylor Swift,Picture To Burn,2,Who's really bad at lying,23
78,Taylor Swift,Picture To Burn,2,So watch me strike a match,24
79,Taylor Swift,Picture To Burn,2,On all my wasted time,25
80,Taylor Swift,Picture To Burn,2,As far as I'm concerned,26
81,Taylor Swift,Picture To Burn,2,You're just another picture to burn!,27
82,Taylor Swift,Picture To Burn,2,And if you're missing me,28
83,Taylor Swift,Picture To Burn,2,You'd better keep it to yourself,29
84,Taylor Swift,Picture To Burn,2,'Cause coming back around here,30
85,Taylor Swift,Picture To Burn,2,Would be bad for your health...,31
86,Taylor Swift,Picture To Burn,2,'Cause I hate that stupid old pickup truck,32
87,Taylor Swift,Picture To Burn,2,You never let me drive,33
88,Taylor Swift,Picture To Burn,2,You're a redneck heartbreak,34
89,Taylor Swift,Picture To Burn,2,Who's really bad at lying,35
90,Taylor Swift,Picture To Burn,2,So watch me strike a match,36
91,Taylor Swift,Picture To Burn,2,On all my wasted time,37
92,Taylor Swift,Picture To Burn,2,In case you haven't heard,38
93,Taylor Swift,Picture To Burn,2,I really really hate that...,39
94,Taylor Swift,Picture To Burn,2,Stupid old pickup truck,40
95,Taylor Swift,Picture To Burn,2,You never let me drive,41
96,Taylor Swift,Picture To Burn,2,You're a redneck heartbreak,42
97,Taylor Swift,Picture To Burn,2,Who's really bad at lying,43
98,Taylor Swift,Picture To Burn,2,So watch me strike a match,44
99,Taylor Swift,Picture To Burn,2,On all my wasted time,45
100,Taylor Swift,Picture To Burn,2,As far as I'm concerned,46
101,Taylor Swift,Picture To Burn,2,You're just another picture to burn!,47
102,Taylor Swift,Picture To Burn,2,"Burn, burn, burn, baby, burn",48
103,Taylor Swift,Picture To Burn,2,You're just another picture to burn,49
104,Taylor Swift,Picture To Burn,2,"Baby, burn...",50
105,Taylor Swift,Teardrops On My Guitar,3,Drew looks at me,1
106,Taylor Swift,Teardrops On My Guitar,3,I fake a smile so he won't see,2
107,Taylor Swift,Teardrops On My Guitar,3,That I want and I'm needing,3
108,Taylor Swift,Teardrops On My Guitar,3,Everything that we should be,4
109,Taylor Swift,Teardrops On My Guitar,3,"I'll bet she's beautiful, that girl he talks about",5
110,Taylor Swift,Teardrops On My Guitar,3,And she's got everything that I have to live without,6
111,Taylor Swift,Teardrops On My Guitar,3,Drew talks to me,7
112,Taylor Swift,Teardrops On My Guitar,3,I laugh 'cause it's just so funny,8
113,Taylor Swift,Teardrops On My Guitar,3,That I can't even see,9
114,Taylor Swift,Teardrops On My Guitar,3,Anyone when he's with me,10
115,Taylor Swift,Teardrops On My Guitar,3,"He says he's so in love, he's finally got it right",11
116,Taylor Swift,Teardrops On My Guitar,3,I wonder if he knows he's all I think about at night,12
117,Taylor Swift,Teardrops On My Guitar,3,He's the reason for the teardrops on my guitar,13
118,Taylor Swift,Teardrops On My Guitar,3,The only thing that keeps me wishing on a wishing star,14
119,Taylor Swift,Teardrops On My Guitar,3,He's the song in the car I keep singing. Don't know why I do,15
120,Taylor Swift,Teardrops On My Guitar,3,Drew walks by me,16
121,Taylor Swift,Teardrops On My Guitar,3,Can he tell that I can't breathe?,17
122,Taylor Swift,Teardrops On My Guitar,3,"And there he goes, so perfectly",18
123,Taylor Swift,Teardrops On My Guitar,3,The kind of flawless I wish I could be,19
124,Taylor Swift,Teardrops On My Guitar,3,"She'd better hold him tight, give him all her love",20
125,Taylor Swift,Teardrops On My Guitar,3,Look in those beautiful eyes and know she's lucky 'cause,21
126,Taylor Swift,Teardrops On My Guitar,3,He's the reason for the teardrops on my guitar,22
127,Taylor Swift,Teardrops On My Guitar,3,The only thing that keeps me wishing on a wishing star,23
128,Taylor Swift,Teardrops On My Guitar,3,He's the song in the car I keep singing. Don't know why I do,24
129,Taylor Swift,Teardrops On My Guitar,3,"So, I drive home alone",25
130,Taylor Swift,Teardrops On My Guitar,3,As I turn out the light,26
131,Taylor Swift,Teardrops On My Guitar,3,I'll put his picture down,27
132,Taylor Swift,Teardrops On My Guitar,3,And maybe get some sleep tonight,28
133,Taylor Swift,Teardrops On My Guitar,3,'Cause he's the reason for the teardrops on my guitar,29
134,Taylor Swift,Teardrops On My Guitar,3,The only one who's got enough of me to break my heart,30
