album_name,track_title,track_n,lyric,line
Midnights (3am Edition),Maroon,1,And how the blood rushed into my cheeks,50
Midnights (3am Edition),Maroon,1,So scarlet, it was maroon,51
Midnights (3am Edition),Maroon,1,The mark they saw on my collarbone,52
Midnights (3am Edition),Maroon,1,The rust that grew between telephones,53
Midnights (3am Edition),Maroon,1,The lips I used to call home,54
Midnights (3am Edition),Maroon,1,So scarlet, it was maroon,55
Midnights (3am Edition),Maroon,1,It was maroon,56
Midnights (3am Edition),Maroon,1,It was maroon,57
Midnights (3am Edition),Anti-Hero,2,Anti-Hero Lyrics,1
Midnights (3am Edition),Anti-Hero,2,I have this thing where I get older, but just never wiser,2
Midnights (3am Edition),Anti-Hero,2,Midnights become my afternoons,3
Midnights (3am Edition),Anti-Hero,2,When my depression works the graveyard shift, all of the people,4
Midnights (3am Edition),Anti-Hero,2,I've ghosted stand there in the room,5
Midnights (3am Edition),Anti-Hero,2,I should not be left to my own devices,6
Midnights (3am Edition),Anti-Hero,2,They come with prices and vices,7
Midnights (3am Edition),Anti-Hero,2,I end up in crisis,8
Midnights (3am Edition),Anti-Hero,2,I wake up screaming from dreaming,9
Midnights (3am Edition),Anti-Hero,2,One day, I'll watch as you're leaving,10
Midnights (3am Edition),Anti-Hero,2,'Cause you got tired of my scheming,11
Midnights (3am Edition),Anti-Hero,2,It's me, hi,12
Midnights (3am Edition),Anti-Hero,2,I'm the problem, it's me,13
Midnights (3am Edition),Anti-Hero,2,At teatime, everybody agrees,14
Midnights (3am Edition),Anti-Hero,2,I'll stare directly at the sun, but never in the mirror,15
Midnights (3am Edition),Anti-Hero,2,It must be exhausting always rooting for the anti-hero,16
Midnights (3am Edition),Anti-Hero,2,Sometimes, I feel like everybody is a sexy baby,17
Midnights (3am Edition),Anti-Hero,2,And I'm a monster on the hill,18
Midnights (3am Edition),Anti-Hero,2,Too big to hang out, slowly lurching toward your favorite city,19
Midnights (3am Edition),Anti-Hero,2,Pierced through the heart, but never killed,20
Midnights (3am Edition),Anti-Hero,2,Did you hear my covert narcissism I disguise as altruism,21
Midnights (3am Edition),Anti-Hero,2,Like some kind of congressman?,22
Midnights (3am Edition),Anti-Hero,2,I wake up screaming from dreaming,23
Midnights (3am Edition),Anti-Hero,2,One day, I'll watch as you're leaving,24
Midnights (3am Edition),Anti-Hero,2,And life will lose all its meaning,25
Midnights (3am Edition),Anti-Hero,2,It's me, hi,26
Midnights (3am Edition),Anti-Hero,2,I'm the problem, it's me,27
Midnights (3am Edition),Anti-Hero,2,At teatime, everybody agrees,28
Midnights (3am Edition),Anti-Hero,2,I'll stare directly at the sun, but never in the mirror,29
Midnights (3am Edition),Anti-Hero,2,It must be exhausting always rooting for the anti-hero,30
Midnights (3am Edition),Anti-Hero,2,You might also like,31
Midnights (3am Edition),Anti-Hero,2,I have this dream my daughter-in-law kills me for the money,32
Midnights (3am Edition),Anti-Hero,2,She thinks I left them in the will,33
Midnights (3am Edition),Anti-Hero,2,The family gathers 'round and reads it and then someone screams out,34
Midnights (3am Edition),Anti-Hero,2,"She's laughing up at us from Hell",35
Midnights (3am Edition),Anti-Hero,2,It's me, hi,36
